Rank,Title,Previous Rank, Revenues ($M) ,Revenue Change, Profits ($M) ,Profit Change, Assets ($M) , Mkt Value as of 3/29/18 ($M) ,Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State, Latitude , Longitude 
1,Walmart,1," $500,343.00 ",3%," $9,862.00 ",-28%," $204,522.00 "," $263,563.00 ",2300000,C. Douglas McMillon,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Bentonville,AR, 36.37285 , (94.20882)
2,Exxon Mobil,4," $244,363.00 ",17%," $19,710.00 ",151%," $348,691.00 "," $316,157.00 ",71200,Darren W. Woods,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,Irving,TX, 32.81402 , (96.94889)
3,Berkshire Hathaway,2," $242,137.00 ",8%," $44,940.00 ",87%," $702,095.00 "," $492,008.00 ",377000,Warren E. Buffett,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Omaha,NE, 41.25654 , (95.93450)
4,Apple,3," $229,234.00 ",6%," $48,351.00 ",6%," $375,319.00 "," $851,318.00 ",123000,Timothy D. Cook,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Cupertino,CA, 37.32300 , (122.03218)
5,UnitedHealth Group,6," $201,159.00 ",9%," $10,558.00 ",51%," $139,058.00 "," $207,080.00 ",260000,David S. Wichmann,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,24,Minnetonka,MN, 44.92118 , (93.46875)
6,McKesson,5," $198,533.00 ",3%," $5,070.00 ",125%," $60,969.00 "," $29,067.00 ",64500,John H. Hammergren,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,SF,CA, 37.77493 , (122.41942)
7,CVS Health,7," $184,765.00 ",4%," $6,622.00 ",25%," $95,131.00 "," $63,114.00 ",203000,Larry J. Merlo,"President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,24,Woonsocket,RI, 42.00288 , (71.51478)
8,Amazon.com,12," $177,866.00 ",31%," $3,033.00 ",28%," $131,310.00 "," $700,668.00 ",566000,Jeffrey P. Bezos,"Chairman, President &  Chief Executive Officer",Retailing,Internet Services and Retailing,17,Seattle,WA, 47.60621 , (122.33207)
9,AT&T,9," $160,546.00 ",-2%," $29,450.00 ",127%," $444,097.00 "," $218,946.00 ",254000,Randall L. Stephenson,"Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,24,Dallas,TX, 32.77666 , (96.79699)
10,General Motors,8," $157,311.00 ",-6%," $(3,864.00)",-141%," $212,482.00 "," $50,972.00 ",180000,Mary T. Barra,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Detroit,MI, 42.33143 , (83.04575)
11,Ford Motor,10," $156,776.00 ",3%," $7,602.00 ",65%," $257,808.00 "," $44,244.00 ",202000,James P. Hackett,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Dearborn,MI, 42.32226 , (83.17631)
